areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000004,East Midlands,region,2021-08-20,475415,12126
E12000004,East Midlands,region,2021-08-19,474936,12126
E12000004,East Midlands,region,2021-08-18,472869,12121
E12000004,East Midlands,region,2021-08-17,470269,12114
E12000004,East Midlands,region,2021-08-16,467600,12106
E12000004,East Midlands,region,2021-08-15,464624,12100
E12000004,East Midlands,region,2021-08-14,462528,12093
E12000004,East Midlands,region,2021-08-13,460454,12085
E12000004,East Midlands,region,2021-08-12,458195,12075
E12000004,East Midlands,region,2021-08-11,455492,12070
E12000004,East Midlands,region,2021-08-10,452830,12061
E12000004,East Midlands,region,2021-08-09,450251,12056
E12000004,East Midlands,region,2021-08-08,447526,12051
E12000004,East Midlands,region,2021-08-07,445587,12048
E12000004,East Midlands,region,2021-08-06,443712,12041
E12000004,East Midlands,region,2021-08-05,441332,12033
E12000004,East Midlands,region,2021-08-04,438645,12023
E12000004,East Midlands,region,2021-08-03,435868,12018
E12000004,East Midlands,region,2021-08-02,433252,12012
E12000004,East Midlands,region,2021-08-01,430754,12008
E12000004,East Midlands,region,2021-07-31,429015,11996
E12000004,East Midlands,region,2021-07-30,427199,11989
E12000004,East Midlands,region,2021-07-29,425137,11980
E12000004,East Midlands,region,2021-07-28,422811,11978
E12000004,East Midlands,region,2021-07-27,420236,11973
E12000004,East Midlands,region,2021-07-26,417837,11968
E12000004,East Midlands,region,2021-07-25,415539,11965
E12000004,East Midlands,region,2021-07-24,413865,11961
E12000004,East Midlands,region,2021-07-23,412200,11957
E12000004,East Midlands,region,2021-07-22,410263,11952
E12000004,East Midlands,region,2021-07-21,408035,11946
E12000004,East Midlands,region,2021-07-20,405453,11941
E12000004,East Midlands,region,2021-07-19,402636,11937
E12000004,East Midlands,region,2021-07-18,399028,11933
E12000004,East Midlands,region,2021-07-17,396334,11929
E12000004,East Midlands,region,2021-07-16,393476,11925
E12000004,East Midlands,region,2021-07-15,389372,11925
E12000004,East Midlands,region,2021-07-14,384947,11923
E12000004,East Midlands,region,2021-07-13,380989,11921
E12000004,East Midlands,region,2021-07-12,377573,11916
E12000004,East Midlands,region,2021-07-11,374236,11914
E12000004,East Midlands,region,2021-07-10,372102,11913
E12000004,East Midlands,region,2021-07-09,370124,11912
E12000004,East Midlands,region,2021-07-08,367917,11910
E12000004,East Midlands,region,2021-07-07,365662,11909
E12000004,East Midlands,region,2021-07-06,363193,11906
E12000004,East Midlands,region,2021-07-05,360831,11905
E12000004,East Midlands,region,2021-07-04,358568,11904
E12000004,East Midlands,region,2021-07-03,356911,11900
E12000004,East Midlands,region,2021-07-02,355454,11898
E12000004,East Midlands,region,2021-07-01,353892,11894
E12000004,East Midlands,region,2021-06-30,352226,11893
E12000004,East Midlands,region,2021-06-29,350680,11891
E12000004,East Midlands,region,2021-06-28,349100,11890
E12000004,East Midlands,region,2021-06-27,347559,11888
E12000004,East Midlands,region,2021-06-26,346567,11887
E12000004,East Midlands,region,2021-06-25,345678,11886
E12000004,East Midlands,region,2021-06-24,344738,11886
E12000004,East Midlands,region,2021-06-23,343895,11885
E12000004,East Midlands,region,2021-06-22,343034,11885
E12000004,East Midlands,region,2021-06-21,342214,11883
E12000004,East Midlands,region,2021-06-20,341463,11883
E12000004,East Midlands,region,2021-06-19,340992,11882
E12000004,East Midlands,region,2021-06-18,340577,11882
E12000004,East Midlands,region,2021-06-17,340030,11882
E12000004,East Midlands,region,2021-06-16,339524,11882
E12000004,East Midlands,region,2021-06-15,338974,11880
E12000004,East Midlands,region,2021-06-14,338434,11878
E12000004,East Midlands,region,2021-06-13,337942,11874
E12000004,East Midlands,region,2021-06-12,337622,11874
E12000004,East Midlands,region,2021-06-11,337303,11873
E12000004,East Midlands,region,2021-06-10,336951,11872
E12000004,East Midlands,region,2021-06-09,336613,11871
E12000004,East Midlands,region,2021-06-08,336220,11870
E12000004,East Midlands,region,2021-06-07,335858,11868
E12000004,East Midlands,region,2021-06-06,335446,11868
E12000004,East Midlands,region,2021-06-05,335176,11868
E12000004,East Midlands,region,2021-06-04,334961,11866
E12000004,East Midlands,region,2021-06-03,334703,11863
E12000004,East Midlands,region,2021-06-02,334438,11860
E12000004,East Midlands,region,2021-06-01,334172,11860
E12000004,East Midlands,region,2021-05-31,333920,11859
E12000004,East Midlands,region,2021-05-30,333745,11858
E12000004,East Midlands,region,2021-05-29,333590,11857
E12000004,East Midlands,region,2021-05-28,333452,11856
E12000004,East Midlands,region,2021-05-27,333272,11854
E12000004,East Midlands,region,2021-05-26,333094,11851
E12000004,East Midlands,region,2021-05-25,332897,11851
E12000004,East Midlands,region,2021-05-24,332731,11851
E12000004,East Midlands,region,2021-05-23,332537,11851
E12000004,East Midlands,region,2021-05-22,332394,11849
E12000004,East Midlands,region,2021-05-21,332277,11847
E12000004,East Midlands,region,2021-05-20,332152,11846
E12000004,East Midlands,region,2021-05-19,331980,11845
E12000004,East Midlands,region,2021-05-18,331801,11845
E12000004,East Midlands,region,2021-05-17,331670,11842
E12000004,East Midlands,region,2021-05-16,331510,11840
E12000004,East Midlands,region,2021-05-15,331369,11839
E12000004,East Midlands,region,2021-05-14,331262,11838
E12000004,East Midlands,region,2021-05-13,331124,11838
E12000004,East Midlands,region,2021-05-12,330978,11836
E12000004,East Midlands,region,2021-05-11,330837,11835
E12000004,East Midlands,region,2021-05-10,330691,11833
E12000004,East Midlands,region,2021-05-09,330459,11831
E12000004,East Midlands,region,2021-05-08,330261,11831
E12000004,East Midlands,region,2021-05-07,330141,11830
E12000004,East Midlands,region,2021-05-06,329971,11829
E12000004,East Midlands,region,2021-05-05,329726,11829
E12000004,East Midlands,region,2021-05-04,329492,11828
E12000004,East Midlands,region,2021-05-03,329278,11828
E12000004,East Midlands,region,2021-05-02,329093,11823
E12000004,East Midlands,region,2021-05-01,328945,11821
E12000004,East Midlands,region,2021-04-30,328842,11820
E12000004,East Midlands,region,2021-04-29,328736,11819
E12000004,East Midlands,region,2021-04-28,328563,11818
E12000004,East Midlands,region,2021-04-27,328389,11816
E12000004,East Midlands,region,2021-04-26,328233,11813
E12000004,East Midlands,region,2021-04-25,328060,11810
E12000004,East Midlands,region,2021-04-24,327910,11806
E12000004,East Midlands,region,2021-04-23,327800,11804
E12000004,East Midlands,region,2021-04-22,327665,11795
E12000004,East Midlands,region,2021-04-21,327497,11789
E12000004,East Midlands,region,2021-04-20,327309,11787
E12000004,East Midlands,region,2021-04-19,327113,11786
E12000004,East Midlands,region,2021-04-18,326918,11784
E12000004,East Midlands,region,2021-04-17,326716,11776
E12000004,East Midlands,region,2021-04-16,326596,11775
E12000004,East Midlands,region,2021-04-15,326426,11770
E12000004,East Midlands,region,2021-04-14,326245,11763
E12000004,East Midlands,region,2021-04-13,326030,11758
E12000004,East Midlands,region,2021-04-12,325821,11757
E12000004,East Midlands,region,2021-04-11,325592,11752
E12000004,East Midlands,region,2021-04-10,325394,11746
E12000004,East Midlands,region,2021-04-09,325208,11739
E12000004,East Midlands,region,2021-04-08,324956,11734
E12000004,East Midlands,region,2021-04-07,324658,11728
E12000004,East Midlands,region,2021-04-06,324374,11718
E12000004,East Midlands,region,2021-04-05,324057,11709
E12000004,East Midlands,region,2021-04-04,323823,11708
E12000004,East Midlands,region,2021-04-03,323615,11700
E12000004,East Midlands,region,2021-04-02,323354,11694
E12000004,East Midlands,region,2021-04-01,323084,11686
E12000004,East Midlands,region,2021-03-31,322750,11680
E12000004,East Midlands,region,2021-03-30,322385,11673
E12000004,East Midlands,region,2021-03-29,322047,11664
E12000004,East Midlands,region,2021-03-28,321681,11648
E12000004,East Midlands,region,2021-03-27,321250,11643
E12000004,East Midlands,region,2021-03-26,320891,11632
E12000004,East Midlands,region,2021-03-25,320487,11619
E12000004,East Midlands,region,2021-03-24,319971,11601
E12000004,East Midlands,region,2021-03-23,319371,11595
E12000004,East Midlands,region,2021-03-22,318830,11583
E12000004,East Midlands,region,2021-03-21,318289,11561
E12000004,East Midlands,region,2021-03-20,317818,11541
E12000004,East Midlands,region,2021-03-19,317408,11521
E12000004,East Midlands,region,2021-03-18,316935,11511
E12000004,East Midlands,region,2021-03-17,316357,11490
E12000004,East Midlands,region,2021-03-16,315783,11475
E12000004,East Midlands,region,2021-03-15,315186,11463
E12000004,East Midlands,region,2021-03-14,314590,11441
E12000004,East Midlands,region,2021-03-13,314210,11424
E12000004,East Midlands,region,2021-03-12,313817,11392
E12000004,East Midlands,region,2021-03-11,313296,11371
E12000004,East Midlands,region,2021-03-10,312731,11347
E12000004,East Midlands,region,2021-03-09,312161,11323
E12000004,East Midlands,region,2021-03-08,311554,11297
E12000004,East Midlands,region,2021-03-07,310896,11273
E12000004,East Midlands,region,2021-03-06,310451,11245
E12000004,East Midlands,region,2021-03-05,310009,11220
E12000004,East Midlands,region,2021-03-04,309400,11192
E12000004,East Midlands,region,2021-03-03,308808,11162
E12000004,East Midlands,region,2021-03-02,308193,11129
E12000004,East Midlands,region,2021-03-01,307522,11104
E12000004,East Midlands,region,2021-02-28,306764,11077
E12000004,East Midlands,region,2021-02-27,306279,11041
E12000004,East Midlands,region,2021-02-26,305760,11005
E12000004,East Midlands,region,2021-02-25,305086,10976
E12000004,East Midlands,region,2021-02-24,304287,10939
E12000004,East Midlands,region,2021-02-23,303324,10897
E12000004,East Midlands,region,2021-02-22,302192,10854
E12000004,East Midlands,region,2021-02-21,300841,10826
E12000004,East Midlands,region,2021-02-20,299973,10796
E12000004,East Midlands,region,2021-02-19,299176,10742
E12000004,East Midlands,region,2021-02-18,298079,10706
E12000004,East Midlands,region,2021-02-17,296881,10656
E12000004,East Midlands,region,2021-02-16,295591,10607
E12000004,East Midlands,region,2021-02-15,294295,10534
E12000004,East Midlands,region,2021-02-14,292618,10462
E12000004,East Midlands,region,2021-02-13,291706,10404
E12000004,East Midlands,region,2021-02-12,290796,10353
E12000004,East Midlands,region,2021-02-11,289532,10290
E12000004,East Midlands,region,2021-02-10,288182,10231
E12000004,East Midlands,region,2021-02-09,286883,10165
E12000004,East Midlands,region,2021-02-08,285527,10082
E12000004,East Midlands,region,2021-02-07,283886,10015
E12000004,East Midlands,region,2021-02-06,282779,9941
E12000004,East Midlands,region,2021-02-05,281661,9875
E12000004,East Midlands,region,2021-02-04,280213,9805
E12000004,East Midlands,region,2021-02-03,278545,9734
E12000004,East Midlands,region,2021-02-02,276794,9654
E12000004,East Midlands,region,2021-02-01,274943,9564
E12000004,East Midlands,region,2021-01-31,272875,9474
E12000004,East Midlands,region,2021-01-30,271496,9389
E12000004,East Midlands,region,2021-01-29,270039,9305
E12000004,East Midlands,region,2021-01-28,268172,9205
E12000004,East Midlands,region,2021-01-27,265984,9118
E12000004,East Midlands,region,2021-01-26,263748,9018
E12000004,East Midlands,region,2021-01-25,261448,8928
E12000004,East Midlands,region,2021-01-24,259375,8840
E12000004,East Midlands,region,2021-01-23,258143,8742
E12000004,East Midlands,region,2021-01-22,256395,8659
E12000004,East Midlands,region,2021-01-21,254086,8574
E12000004,East Midlands,region,2021-01-20,251507,8486
E12000004,East Midlands,region,2021-01-19,248823,8374
E12000004,East Midlands,region,2021-01-18,245641,8279
E12000004,East Midlands,region,2021-01-17,242415,8184
E12000004,East Midlands,region,2021-01-16,240328,8083
E12000004,East Midlands,region,2021-01-15,238269,7979
E12000004,East Midlands,region,2021-01-14,235555,7877
E12000004,East Midlands,region,2021-01-13,232759,7778
E12000004,East Midlands,region,2021-01-12,229926,7665
E12000004,East Midlands,region,2021-01-11,226682,7576
E12000004,East Midlands,region,2021-01-10,223147,7487
E12000004,East Midlands,region,2021-01-09,220991,7425
E12000004,East Midlands,region,2021-01-08,218665,7331
E12000004,East Midlands,region,2021-01-07,215867,7255
E12000004,East Midlands,region,2021-01-06,212894,7198
E12000004,East Midlands,region,2021-01-05,209703,7130
E12000004,East Midlands,region,2021-01-04,206208,7059
E12000004,East Midlands,region,2021-01-03,201925,6995
E12000004,East Midlands,region,2021-01-02,198931,6942
