areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000006,East of England,region,2021-08-20,539544,15829
E12000006,East of England,region,2021-08-19,539017,15827
E12000006,East of England,region,2021-08-18,536755,15823
E12000006,East of England,region,2021-08-17,534155,15816
E12000006,East of England,region,2021-08-16,531515,15809
E12000006,East of England,region,2021-08-15,528737,15800
E12000006,East of England,region,2021-08-14,526751,15790
E12000006,East of England,region,2021-08-13,524768,15783
E12000006,East of England,region,2021-08-12,522371,15775
E12000006,East of England,region,2021-08-11,519691,15766
E12000006,East of England,region,2021-08-10,516970,15761
E12000006,East of England,region,2021-08-09,514495,15755
E12000006,East of England,region,2021-08-08,511855,15746
E12000006,East of England,region,2021-08-07,509976,15738
E12000006,East of England,region,2021-08-06,508083,15729
E12000006,East of England,region,2021-08-05,505769,15722
E12000006,East of England,region,2021-08-04,503100,15719
E12000006,East of England,region,2021-08-03,500372,15713
E12000006,East of England,region,2021-08-02,497790,15708
E12000006,East of England,region,2021-08-01,495301,15701
E12000006,East of England,region,2021-07-31,493560,15698
E12000006,East of England,region,2021-07-30,491695,15691
E12000006,East of England,region,2021-07-29,489539,15685
E12000006,East of England,region,2021-07-28,487174,15682
E12000006,East of England,region,2021-07-27,484616,15677
E12000006,East of England,region,2021-07-26,482203,15672
E12000006,East of England,region,2021-07-25,479821,15667
E12000006,East of England,region,2021-07-24,478005,15663
E12000006,East of England,region,2021-07-23,476091,15655
E12000006,East of England,region,2021-07-22,473854,15648
E12000006,East of England,region,2021-07-21,471169,15644
E12000006,East of England,region,2021-07-20,468174,15642
E12000006,East of England,region,2021-07-19,464771,15636
E12000006,East of England,region,2021-07-18,460816,15632
E12000006,East of England,region,2021-07-17,457671,15628
E12000006,East of England,region,2021-07-16,454343,15625
E12000006,East of England,region,2021-07-15,449663,15624
E12000006,East of England,region,2021-07-14,444255,15622
E12000006,East of England,region,2021-07-13,439590,15622
E12000006,East of England,region,2021-07-12,435896,15620
E12000006,East of England,region,2021-07-11,432625,15617
E12000006,East of England,region,2021-07-10,430356,15616
E12000006,East of England,region,2021-07-09,428450,15613
E12000006,East of England,region,2021-07-08,426221,15610
E12000006,East of England,region,2021-07-07,423930,15605
E12000006,East of England,region,2021-07-06,421388,15604
E12000006,East of England,region,2021-07-05,419048,15601
E12000006,East of England,region,2021-07-04,416783,15599
E12000006,East of England,region,2021-07-03,415102,15599
E12000006,East of England,region,2021-07-02,413553,15599
E12000006,East of England,region,2021-07-01,412029,15597
E12000006,East of England,region,2021-06-30,410421,15597
E12000006,East of England,region,2021-06-29,408930,15596
E12000006,East of England,region,2021-06-28,407549,15595
E12000006,East of England,region,2021-06-27,406161,15595
E12000006,East of England,region,2021-06-26,405199,15594
E12000006,East of England,region,2021-06-25,404409,15593
E12000006,East of England,region,2021-06-24,403617,15591
E12000006,East of England,region,2021-06-23,402798,15590
E12000006,East of England,region,2021-06-22,401992,15590
E12000006,East of England,region,2021-06-21,401293,15589
E12000006,East of England,region,2021-06-20,400662,15589
E12000006,East of England,region,2021-06-19,400240,15587
E12000006,East of England,region,2021-06-18,399905,15584
E12000006,East of England,region,2021-06-17,399472,15583
E12000006,East of England,region,2021-06-16,399018,15581
E12000006,East of England,region,2021-06-15,398584,15579
E12000006,East of England,region,2021-06-14,398160,15577
E12000006,East of England,region,2021-06-13,397740,15577
E12000006,East of England,region,2021-06-12,397420,15576
E12000006,East of England,region,2021-06-11,397135,15573
E12000006,East of England,region,2021-06-10,396807,15572
E12000006,East of England,region,2021-06-09,396511,15571
E12000006,East of England,region,2021-06-08,396194,15571
E12000006,East of England,region,2021-06-07,395804,15569
E12000006,East of England,region,2021-06-06,395476,15568
E12000006,East of England,region,2021-06-05,395199,15567
E12000006,East of England,region,2021-06-04,394980,15567
E12000006,East of England,region,2021-06-03,394713,15567
E12000006,East of England,region,2021-06-02,394437,15566
E12000006,East of England,region,2021-06-01,394159,15563
E12000006,East of England,region,2021-05-31,393922,15562
E12000006,East of England,region,2021-05-30,393750,15559
E12000006,East of England,region,2021-05-29,393608,15557
E12000006,East of England,region,2021-05-28,393464,15556
E12000006,East of England,region,2021-05-27,393271,15555
E12000006,East of England,region,2021-05-26,393082,15554
E12000006,East of England,region,2021-05-25,392860,15551
E12000006,East of England,region,2021-05-24,392660,15549
E12000006,East of England,region,2021-05-23,392477,15548
E12000006,East of England,region,2021-05-22,392328,15548
E12000006,East of England,region,2021-05-21,392193,15547
E12000006,East of England,region,2021-05-20,392049,15545
E12000006,East of England,region,2021-05-19,391886,15544
E12000006,East of England,region,2021-05-18,391678,15544
E12000006,East of England,region,2021-05-17,391503,15541
E12000006,East of England,region,2021-05-16,391289,15538
E12000006,East of England,region,2021-05-15,391159,15535
E12000006,East of England,region,2021-05-14,391073,15534
E12000006,East of England,region,2021-05-13,390958,15533
E12000006,East of England,region,2021-05-12,390793,15530
E12000006,East of England,region,2021-05-11,390621,15530
E12000006,East of England,region,2021-05-10,390471,15525
E12000006,East of England,region,2021-05-09,390259,15522
E12000006,East of England,region,2021-05-08,390064,15521
E12000006,East of England,region,2021-05-07,389964,15517
E12000006,East of England,region,2021-05-06,389845,15516
E12000006,East of England,region,2021-05-05,389695,15510
E12000006,East of England,region,2021-05-04,389526,15507
E12000006,East of England,region,2021-05-03,389330,15504
E12000006,East of England,region,2021-05-02,389184,15503
E12000006,East of England,region,2021-05-01,389056,15502
E12000006,East of England,region,2021-04-30,388946,15501
E12000006,East of England,region,2021-04-29,388833,15496
E12000006,East of England,region,2021-04-28,388660,15495
E12000006,East of England,region,2021-04-27,388509,15491
E12000006,East of England,region,2021-04-26,388361,15485
E12000006,East of England,region,2021-04-25,388166,15483
E12000006,East of England,region,2021-04-24,387981,15479
E12000006,East of England,region,2021-04-23,387859,15477
E12000006,East of England,region,2021-04-22,387698,15470
E12000006,East of England,region,2021-04-21,387507,15469
E12000006,East of England,region,2021-04-20,387318,15465
E12000006,East of England,region,2021-04-19,387143,15458
E12000006,East of England,region,2021-04-18,386959,15456
E12000006,East of England,region,2021-04-17,386759,15450
E12000006,East of England,region,2021-04-16,386643,15444
E12000006,East of England,region,2021-04-15,386485,15433
E12000006,East of England,region,2021-04-14,386330,15430
E12000006,East of England,region,2021-04-13,386134,15425
E12000006,East of England,region,2021-04-12,385993,15417
E12000006,East of England,region,2021-04-11,385766,15414
E12000006,East of England,region,2021-04-10,385569,15412
E12000006,East of England,region,2021-04-09,385392,15401
E12000006,East of England,region,2021-04-08,385180,15395
E12000006,East of England,region,2021-04-07,384958,15387
E12000006,East of England,region,2021-04-06,384747,15380
E12000006,East of England,region,2021-04-05,384525,15374
E12000006,East of England,region,2021-04-04,384360,15366
E12000006,East of England,region,2021-04-03,384218,15357
E12000006,East of England,region,2021-04-02,384046,15350
E12000006,East of England,region,2021-04-01,383848,15347
E12000006,East of England,region,2021-03-31,383578,15339
E12000006,East of England,region,2021-03-30,383323,15332
E12000006,East of England,region,2021-03-29,383116,15321
E12000006,East of England,region,2021-03-28,382876,15309
E12000006,East of England,region,2021-03-27,382544,15299
E12000006,East of England,region,2021-03-26,382297,15286
E12000006,East of England,region,2021-03-25,382000,15275
E12000006,East of England,region,2021-03-24,381613,15263
E12000006,East of England,region,2021-03-23,381141,15254
E12000006,East of England,region,2021-03-22,380832,15241
E12000006,East of England,region,2021-03-21,380374,15227
E12000006,East of England,region,2021-03-20,379935,15206
E12000006,East of England,region,2021-03-19,379688,15197
E12000006,East of England,region,2021-03-18,379330,15184
E12000006,East of England,region,2021-03-17,378966,15174
E12000006,East of England,region,2021-03-16,378507,15154
E12000006,East of England,region,2021-03-15,378140,15137
E12000006,East of England,region,2021-03-14,377677,15118
E12000006,East of England,region,2021-03-13,377369,15102
