areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000007,London,region,2021-08-20,964747,18518
E12000007,London,region,2021-08-19,964024,18513
E12000007,London,region,2021-08-18,961110,18503
E12000007,London,region,2021-08-17,957589,18494
E12000007,London,region,2021-08-16,953984,18484
E12000007,London,region,2021-08-15,950198,18475
E12000007,London,region,2021-08-14,947521,18463
E12000007,London,region,2021-08-13,944641,18451
E12000007,London,region,2021-08-12,940990,18444
E12000007,London,region,2021-08-11,937078,18431
E12000007,London,region,2021-08-10,932834,18419
E12000007,London,region,2021-08-09,929034,18410
E12000007,London,region,2021-08-08,925237,18401
E12000007,London,region,2021-08-07,922400,18393
E12000007,London,region,2021-08-06,919470,18385
E12000007,London,region,2021-08-05,915851,18377
E12000007,London,region,2021-08-04,911679,18363
E12000007,London,region,2021-08-03,907498,18347
E12000007,London,region,2021-08-02,903562,18341
E12000007,London,region,2021-08-01,899677,18332
E12000007,London,region,2021-07-31,897059,18321
E12000007,London,region,2021-07-30,894467,18312
E12000007,London,region,2021-07-29,891207,18300
E12000007,London,region,2021-07-28,887412,18289
E12000007,London,region,2021-07-27,883542,18278
E12000007,London,region,2021-07-26,879740,18273
E12000007,London,region,2021-07-25,875778,18264
E12000007,London,region,2021-07-24,872963,18258
E12000007,London,region,2021-07-23,869918,18253
E12000007,London,region,2021-07-22,866070,18243
E12000007,London,region,2021-07-21,861854,18237
E12000007,London,region,2021-07-20,857176,18228
E12000007,London,region,2021-07-19,852174,18219
E12000007,London,region,2021-07-18,846176,18211
E12000007,London,region,2021-07-17,841761,18202
E12000007,London,region,2021-07-16,836789,18196
E12000007,London,region,2021-07-15,829784,18192
E12000007,London,region,2021-07-14,822155,18188
E12000007,London,region,2021-07-13,815772,18184
E12000007,London,region,2021-07-12,810583,18180
E12000007,London,region,2021-07-11,805713,18177
E12000007,London,region,2021-07-10,802496,18177
E12000007,London,region,2021-07-09,799313,18173
E12000007,London,region,2021-07-08,795734,18172
E12000007,London,region,2021-07-07,792154,18170
E12000007,London,region,2021-07-06,787745,18168
E12000007,London,region,2021-07-05,783817,18166
E12000007,London,region,2021-07-04,780063,18163
E12000007,London,region,2021-07-03,777495,18162
E12000007,London,region,2021-07-02,774871,18157
E12000007,London,region,2021-07-01,771996,18155
E12000007,London,region,2021-06-30,768983,18151
E12000007,London,region,2021-06-29,765974,18145
E12000007,London,region,2021-06-28,763053,18142
E12000007,London,region,2021-06-27,760245,18140
E12000007,London,region,2021-06-26,758394,18136
E12000007,London,region,2021-06-25,756711,18136
E12000007,London,region,2021-06-24,754701,18131
E12000007,London,region,2021-06-23,752794,18128
E12000007,London,region,2021-06-22,750870,18128
E12000007,London,region,2021-06-21,749118,18128
E12000007,London,region,2021-06-20,747491,18125
E12000007,London,region,2021-06-19,746536,18124
E12000007,London,region,2021-06-18,745634,18122
E12000007,London,region,2021-06-17,744639,18116
E12000007,London,region,2021-06-16,743379,18113
E12000007,London,region,2021-06-15,742240,18110
E12000007,London,region,2021-06-14,740985,18108
E12000007,London,region,2021-06-13,739813,18108
E12000007,London,region,2021-06-12,739063,18105
E12000007,London,region,2021-06-11,738311,18100
E12000007,London,region,2021-06-10,737396,18100
E12000007,London,region,2021-06-09,736419,18099
E12000007,London,region,2021-06-08,735376,18094
E12000007,London,region,2021-06-07,734316,18092
E12000007,London,region,2021-06-06,733331,18091
E12000007,London,region,2021-06-05,732681,18088
E12000007,London,region,2021-06-04,732097,18086
E12000007,London,region,2021-06-03,731418,18084
E12000007,London,region,2021-06-02,730648,18083
E12000007,London,region,2021-06-01,729854,18082
E12000007,London,region,2021-05-31,729171,18082
E12000007,London,region,2021-05-30,728697,18080
E12000007,London,region,2021-05-29,728310,18079
E12000007,London,region,2021-05-28,727935,18076
E12000007,London,region,2021-05-27,727524,18075
E12000007,London,region,2021-05-26,727024,18072
E12000007,London,region,2021-05-25,726552,18067
E12000007,London,region,2021-05-24,726151,18067
E12000007,London,region,2021-05-23,725795,18064
E12000007,London,region,2021-05-22,725528,18061
E12000007,London,region,2021-05-21,725293,18060
E12000007,London,region,2021-05-20,725030,18056
E12000007,London,region,2021-05-19,724716,18054
E12000007,London,region,2021-05-18,724378,18054
E12000007,London,region,2021-05-17,724065,18053
E12000007,London,region,2021-05-16,723741,18053
E12000007,London,region,2021-05-15,723536,18048
E12000007,London,region,2021-05-14,723352,18046
E12000007,London,region,2021-05-13,723115,18045
E12000007,London,region,2021-05-12,722868,18044
E12000007,London,region,2021-05-11,722649,18043
E12000007,London,region,2021-05-10,722372,18043
E12000007,London,region,2021-05-09,722035,18039
E12000007,London,region,2021-05-08,721775,18038
E12000007,London,region,2021-05-07,721599,18037
E12000007,London,region,2021-05-06,721373,18035
E12000007,London,region,2021-05-05,721095,18034
E12000007,London,region,2021-05-04,720831,18029
E12000007,London,region,2021-05-03,720540,18028
E12000007,London,region,2021-05-02,720306,18027
E12000007,London,region,2021-05-01,720133,18025
E12000007,London,region,2021-04-30,719966,18020
E12000007,London,region,2021-04-29,719744,18017
E12000007,London,region,2021-04-28,719548,18016
E12000007,London,region,2021-04-27,719262,18009
E12000007,London,region,2021-04-26,718992,18006
E12000007,London,region,2021-04-25,718700,18006
E12000007,London,region,2021-04-24,718437,18002
E12000007,London,region,2021-04-23,718216,18001
E12000007,London,region,2021-04-22,717985,17999
E12000007,London,region,2021-04-21,717686,17996
E12000007,London,region,2021-04-20,717343,17994
E12000007,London,region,2021-04-19,717005,17992
E12000007,London,region,2021-04-18,716645,17987
E12000007,London,region,2021-04-17,716286,17983
E12000007,London,region,2021-04-16,716068,17980
E12000007,London,region,2021-04-15,715766,17976
E12000007,London,region,2021-04-14,715470,17966
E12000007,London,region,2021-04-13,715206,17963
E12000007,London,region,2021-04-12,714929,17959
E12000007,London,region,2021-04-11,714601,17956
E12000007,London,region,2021-04-10,714309,17950
E12000007,London,region,2021-04-09,714034,17941
E12000007,London,region,2021-04-08,713683,17934
E12000007,London,region,2021-04-07,713372,17922
E12000007,London,region,2021-04-06,713035,17916
E12000007,London,region,2021-04-05,712704,17915
E12000007,London,region,2021-04-04,712462,17906
E12000007,London,region,2021-04-03,712250,17904
E12000007,London,region,2021-04-02,712011,17897
E12000007,London,region,2021-04-01,711760,17892
E12000007,London,region,2021-03-31,711425,17884
E12000007,London,region,2021-03-30,711123,17873
E12000007,London,region,2021-03-29,710766,17865
E12000007,London,region,2021-03-28,710368,17862
E12000007,London,region,2021-03-27,709899,17852
E12000007,London,region,2021-03-26,709601,17840
E12000007,London,region,2021-03-25,709178,17837
E12000007,London,region,2021-03-24,708724,17827
E12000007,London,region,2021-03-23,708114,17816
E12000007,London,region,2021-03-22,707637,17807
E12000007,London,region,2021-03-21,707102,17789
E12000007,London,region,2021-03-20,706646,17771
E12000007,London,region,2021-03-19,706272,17759
E12000007,London,region,2021-03-18,705832,17752
E12000007,London,region,2021-03-17,705356,17740
E12000007,London,region,2021-03-16,704903,17719
E12000007,London,region,2021-03-15,704399,17700
E12000007,London,region,2021-03-14,703803,17680
E12000007,London,region,2021-03-13,703441,17670
E12000007,London,region,2021-03-12,703079,17647
E12000007,London,region,2021-03-11,702569,17641
E12000007,London,region,2021-03-10,702116,17614
E12000007,London,region,2021-03-09,701587,17585
E12000007,London,region,2021-03-08,700999,17566
E12000007,London,region,2021-03-07,700437,17542
E12000007,London,region,2021-03-06,700028,17511
E12000007,London,region,2021-03-05,699629,17478
E12000007,London,region,2021-03-04,699130,17447
E12000007,London,region,2021-03-03,698622,17421
E12000007,London,region,2021-03-02,698043,17398
E12000007,London,region,2021-03-01,697386,17369
E12000007,London,region,2021-02-28,696837,17321
E12000007,London,region,2021-02-27,696364,17288
E12000007,London,region,2021-02-26,695864,17260
E12000007,London,region,2021-02-25,695244,17230
E12000007,London,region,2021-02-24,694596,17192
E12000007,London,region,2021-02-23,693868,17148
E12000007,London,region,2021-02-22,692951,17109
E12000007,London,region,2021-02-21,691931,17056
E12000007,London,region,2021-02-20,691194,16994
E12000007,London,region,2021-02-19,690396,16947
E12000007,London,region,2021-02-18,689371,16883
E12000007,London,region,2021-02-17,688269,16809
E12000007,London,region,2021-02-16,687183,16746
E12000007,London,region,2021-02-15,685987,16675
E12000007,London,region,2021-02-14,684609,16609
E12000007,London,region,2021-02-13,683728,16551
E12000007,London,region,2021-02-12,682864,16479
E12000007,London,region,2021-02-11,681592,16415
E12000007,London,region,2021-02-10,680154,16348
E12000007,London,region,2021-02-09,678624,16263
E12000007,London,region,2021-02-08,676966,16184
E12000007,London,region,2021-02-07,675170,16093
E12000007,London,region,2021-02-06,673828,16000
E12000007,London,region,2021-02-05,672288,15907
E12000007,London,region,2021-02-04,670179,15790
E12000007,London,region,2021-02-03,667716,15703
E12000007,London,region,2021-02-02,665020,15578
E12000007,London,region,2021-02-01,662079,15454
E12000007,London,region,2021-01-31,658788,15336
E12000007,London,region,2021-01-30,656561,15219
