areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000001,North East,region,2021-08-20,321247,7268
E12000001,North East,region,2021-08-19,320978,7267
E12000001,North East,region,2021-08-18,319945,7264
E12000001,North East,region,2021-08-17,318767,7259
E12000001,North East,region,2021-08-16,317560,7251
E12000001,North East,region,2021-08-15,316258,7247
E12000001,North East,region,2021-08-14,315372,7243
E12000001,North East,region,2021-08-13,314454,7238
E12000001,North East,region,2021-08-12,313397,7235
E12000001,North East,region,2021-08-11,312309,7229
E12000001,North East,region,2021-08-10,311143,7225
E12000001,North East,region,2021-08-09,310012,7220
E12000001,North East,region,2021-08-08,308791,7211
E12000001,North East,region,2021-08-07,307924,7207
E12000001,North East,region,2021-08-06,307027,7200
E12000001,North East,region,2021-08-05,305970,7191
E12000001,North East,region,2021-08-04,304722,7182
E12000001,North East,region,2021-08-03,303403,7170
E12000001,North East,region,2021-08-02,302189,7156
E12000001,North East,region,2021-08-01,301007,7146
E12000001,North East,region,2021-07-31,300142,7137
E12000001,North East,region,2021-07-30,299262,7127
E12000001,North East,region,2021-07-29,298114,7120
E12000001,North East,region,2021-07-28,296876,7112
E12000001,North East,region,2021-07-27,295457,7106
E12000001,North East,region,2021-07-26,293961,7104
E12000001,North East,region,2021-07-25,292275,7094
E12000001,North East,region,2021-07-24,291040,7089
E12000001,North East,region,2021-07-23,289692,7077
E12000001,North East,region,2021-07-22,288084,7073
E12000001,North East,region,2021-07-21,286222,7066
E12000001,North East,region,2021-07-20,284119,7058
E12000001,North East,region,2021-07-19,281562,7053
E12000001,North East,region,2021-07-18,278159,7041
E12000001,North East,region,2021-07-17,275746,7040
E12000001,North East,region,2021-07-16,273120,7037
E12000001,North East,region,2021-07-15,269247,7032
E12000001,North East,region,2021-07-14,264712,7028
E12000001,North East,region,2021-07-13,260470,7024
E12000001,North East,region,2021-07-12,256372,7019
E12000001,North East,region,2021-07-11,252399,7017
E12000001,North East,region,2021-07-10,249529,7013
E12000001,North East,region,2021-07-09,246709,7011
E12000001,North East,region,2021-07-08,243613,7003
E12000001,North East,region,2021-07-07,240401,7000
E12000001,North East,region,2021-07-06,236719,6998
E12000001,North East,region,2021-07-05,233211,6995
E12000001,North East,region,2021-07-04,229813,6994
E12000001,North East,region,2021-07-03,227403,6994
E12000001,North East,region,2021-07-02,225152,6990
E12000001,North East,region,2021-07-01,222873,6990
E12000001,North East,region,2021-06-30,220324,6986
E12000001,North East,region,2021-06-29,217825,6986
E12000001,North East,region,2021-06-28,215452,6985
E12000001,North East,region,2021-06-27,213184,6985
E12000001,North East,region,2021-06-26,211590,6983
E12000001,North East,region,2021-06-25,210263,6983
E12000001,North East,region,2021-06-24,208766,6982
E12000001,North East,region,2021-06-23,207407,6981
E12000001,North East,region,2021-06-22,206085,6981
E12000001,North East,region,2021-06-21,204909,6978
E12000001,North East,region,2021-06-20,203841,6977
E12000001,North East,region,2021-06-19,203161,6977
E12000001,North East,region,2021-06-18,202546,6977
E12000001,North East,region,2021-06-17,201842,6977
E12000001,North East,region,2021-06-16,201103,6977
E12000001,North East,region,2021-06-15,200460,6977
E12000001,North East,region,2021-06-14,199822,6977
E12000001,North East,region,2021-06-13,199162,6977
E12000001,North East,region,2021-06-12,198762,6976
E12000001,North East,region,2021-06-11,198407,6976
E12000001,North East,region,2021-06-10,198010,6976
E12000001,North East,region,2021-06-09,197616,6975
E12000001,North East,region,2021-06-08,197251,6975
E12000001,North East,region,2021-06-07,196942,6975
E12000001,North East,region,2021-06-06,196649,6975
E12000001,North East,region,2021-06-05,196436,6975
E12000001,North East,region,2021-06-04,196282,6974
E12000001,North East,region,2021-06-03,196092,6974
E12000001,North East,region,2021-06-02,195874,6974
E12000001,North East,region,2021-06-01,195723,6973
E12000001,North East,region,2021-05-31,195594,6972
E12000001,North East,region,2021-05-30,195504,6971
E12000001,North East,region,2021-05-29,195419,6971
E12000001,North East,region,2021-05-28,195319,6971
E12000001,North East,region,2021-05-27,195219,6971
E12000001,North East,region,2021-05-26,195127,6971
E12000001,North East,region,2021-05-25,195034,6971
E12000001,North East,region,2021-05-24,194942,6971
E12000001,North East,region,2021-05-23,194864,6971
E12000001,North East,region,2021-05-22,194785,6971
E12000001,North East,region,2021-05-21,194732,6971
E12000001,North East,region,2021-05-20,194669,6971
E12000001,North East,region,2021-05-19,194604,6971
E12000001,North East,region,2021-05-18,194525,6971
E12000001,North East,region,2021-05-17,194433,6970
E12000001,North East,region,2021-05-16,194335,6968
E12000001,North East,region,2021-05-15,194262,6968
E12000001,North East,region,2021-05-14,194214,6967
E12000001,North East,region,2021-05-13,194152,6967
E12000001,North East,region,2021-05-12,194075,6965
E12000001,North East,region,2021-05-11,194001,6961
E12000001,North East,region,2021-05-10,193907,6960
E12000001,North East,region,2021-05-09,193840,6959
E12000001,North East,region,2021-05-08,193743,6957
E12000001,North East,region,2021-05-07,193684,6957
E12000001,North East,region,2021-05-06,193611,6956
E12000001,North East,region,2021-05-05,193530,6956
E12000001,North East,region,2021-05-04,193444,6955
E12000001,North East,region,2021-05-03,193329,6954
E12000001,North East,region,2021-05-02,193261,6952
E12000001,North East,region,2021-05-01,193207,6950
E12000001,North East,region,2021-04-30,193157,6949
E12000001,North East,region,2021-04-29,193090,6946
E12000001,North East,region,2021-04-28,193022,6946
E12000001,North East,region,2021-04-27,192942,6945
E12000001,North East,region,2021-04-26,192843,6943
E12000001,North East,region,2021-04-25,192738,6942
E12000001,North East,region,2021-04-24,192649,6941
E12000001,North East,region,2021-04-23,192593,6939
E12000001,North East,region,2021-04-22,192518,6938
E12000001,North East,region,2021-04-21,192461,6935
E12000001,North East,region,2021-04-20,192359,6934
E12000001,North East,region,2021-04-19,192280,6934
E12000001,North East,region,2021-04-18,192186,6934
E12000001,North East,region,2021-04-17,192094,6933
E12000001,North East,region,2021-04-16,192029,6932
E12000001,North East,region,2021-04-15,191942,6929
E12000001,North East,region,2021-04-14,191868,6927
E12000001,North East,region,2021-04-13,191777,6925
E12000001,North East,region,2021-04-12,191721,6922
E12000001,North East,region,2021-04-11,191634,6920
E12000001,North East,region,2021-04-10,191520,6920
E12000001,North East,region,2021-04-09,191442,6919
E12000001,North East,region,2021-04-08,191350,6917
E12000001,North East,region,2021-04-07,191252,6915
E12000001,North East,region,2021-04-06,191137,6913
E12000001,North East,region,2021-04-05,191007,6909
E12000001,North East,region,2021-04-04,190880,6907
E12000001,North East,region,2021-04-03,190777,6904
E12000001,North East,region,2021-04-02,190678,6901
E12000001,North East,region,2021-04-01,190582,6900
E12000001,North East,region,2021-03-31,190435,6898
E12000001,North East,region,2021-03-30,190218,6891
E12000001,North East,region,2021-03-29,190043,6888
E12000001,North East,region,2021-03-28,189821,6883
E12000001,North East,region,2021-03-27,189560,6882
E12000001,North East,region,2021-03-26,189356,6877
E12000001,North East,region,2021-03-25,189152,6874
E12000001,North East,region,2021-03-24,188933,6868
E12000001,North East,region,2021-03-23,188779,6863
E12000001,North East,region,2021-03-22,188631,6853
E12000001,North East,region,2021-03-21,188326,6848
E12000001,North East,region,2021-03-20,188040,6845
E12000001,North East,region,2021-03-19,187829,6837
E12000001,North East,region,2021-03-18,187589,6829
E12000001,North East,region,2021-03-17,187330,6824
E12000001,North East,region,2021-03-16,187030,6816
E12000001,North East,region,2021-03-15,186728,6813
E12000001,North East,region,2021-03-14,186416,6807
E12000001,North East,region,2021-03-13,186214,6800
E12000001,North East,region,2021-03-12,185958,6787
E12000001,North East,region,2021-03-11,185669,6777
E12000001,North East,region,2021-03-10,185369,6768
E12000001,North East,region,2021-03-09,185055,6754
E12000001,North East,region,2021-03-08,184703,6742
E12000001,North East,region,2021-03-07,184368,6729
E12000001,North East,region,2021-03-06,184154,6722
E12000001,North East,region,2021-03-05,183914,6711
E12000001,North East,region,2021-03-04,183642,6693
E12000001,North East,region,2021-03-03,183347,6681
E12000001,North East,region,2021-03-02,183003,6667
E12000001,North East,region,2021-03-01,182686,6657
E12000001,North East,region,2021-02-28,182308,6641
E12000001,North East,region,2021-02-27,182054,6627
E12000001,North East,region,2021-02-26,181773,6612
E12000001,North East,region,2021-02-25,181410,6596
E12000001,North East,region,2021-02-24,180957,6579
E12000001,North East,region,2021-02-23,180523,6558
E12000001,North East,region,2021-02-22,180133,6543
E12000001,North East,region,2021-02-21,179586,6528
E12000001,North East,region,2021-02-20,179181,6509
E12000001,North East,region,2021-02-19,178835,6488
E12000001,North East,region,2021-02-18,178376,6464
E12000001,North East,region,2021-02-17,177800,6440
E12000001,North East,region,2021-02-16,177215,6419
E12000001,North East,region,2021-02-15,176504,6396
E12000001,North East,region,2021-02-14,175785,6364
E12000001,North East,region,2021-02-13,175310,6334
E12000001,North East,region,2021-02-12,174822,6304
E12000001,North East,region,2021-02-11,174266,6279
E12000001,North East,region,2021-02-10,173601,6260
E12000001,North East,region,2021-02-09,172909,6234
E12000001,North East,region,2021-02-08,172235,6204
E12000001,North East,region,2021-02-07,171476,6167
E12000001,North East,region,2021-02-06,170891,6132
E12000001,North East,region,2021-02-05,170316,6102
