areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000002,North West,region,2021-08-20,909186,21765
E12000002,North West,region,2021-08-19,908556,21759
E12000002,North West,region,2021-08-18,905704,21744
E12000002,North West,region,2021-08-17,902307,21739
E12000002,North West,region,2021-08-16,898951,21727
E12000002,North West,region,2021-08-15,895243,21717
E12000002,North West,region,2021-08-14,892537,21705
E12000002,North West,region,2021-08-13,889936,21691
E12000002,North West,region,2021-08-12,886948,21679
E12000002,North West,region,2021-08-11,883572,21664
E12000002,North West,region,2021-08-10,879899,21643
E12000002,North West,region,2021-08-09,876304,21627
E12000002,North West,region,2021-08-08,872687,21607
E12000002,North West,region,2021-08-07,870154,21588
E12000002,North West,region,2021-08-06,867754,21570
E12000002,North West,region,2021-08-05,864752,21558
E12000002,North West,region,2021-08-04,861206,21539
E12000002,North West,region,2021-08-03,857677,21522
E12000002,North West,region,2021-08-02,854333,21511
E12000002,North West,region,2021-08-01,850836,21495
E12000002,North West,region,2021-07-31,848451,21479
E12000002,North West,region,2021-07-30,846219,21465
E12000002,North West,region,2021-07-29,843488,21438
E12000002,North West,region,2021-07-28,840213,21416
E12000002,North West,region,2021-07-27,836761,21405
E12000002,North West,region,2021-07-26,833435,21388
E12000002,North West,region,2021-07-25,829845,21369
E12000002,North West,region,2021-07-24,827059,21353
E12000002,North West,region,2021-07-23,824227,21344
E12000002,North West,region,2021-07-22,820897,21329
E12000002,North West,region,2021-07-21,817049,21301
E12000002,North West,region,2021-07-20,812715,21291
E12000002,North West,region,2021-07-19,807587,21278
E12000002,North West,region,2021-07-18,801415,21261
E12000002,North West,region,2021-07-17,796873,21243
E12000002,North West,region,2021-07-16,791985,21232
E12000002,North West,region,2021-07-15,784861,21214
E12000002,North West,region,2021-07-14,776926,21198
E12000002,North West,region,2021-07-13,769584,21187
E12000002,North West,region,2021-07-12,763095,21170
E12000002,North West,region,2021-07-11,757015,21160
E12000002,North West,region,2021-07-10,752777,21147
E12000002,North West,region,2021-07-09,748844,21134
E12000002,North West,region,2021-07-08,744053,21122
E12000002,North West,region,2021-07-07,738995,21109
E12000002,North West,region,2021-07-06,733186,21099
E12000002,North West,region,2021-07-05,727831,21093
E12000002,North West,region,2021-07-04,722673,21086
E12000002,North West,region,2021-07-03,718833,21074
E12000002,North West,region,2021-07-02,715272,21066
E12000002,North West,region,2021-07-01,710996,21053
E12000002,North West,region,2021-06-30,706181,21047
E12000002,North West,region,2021-06-29,701246,21038
E12000002,North West,region,2021-06-28,696373,21031
E12000002,North West,region,2021-06-27,691080,21025
E12000002,North West,region,2021-06-26,687794,21019
E12000002,North West,region,2021-06-25,684856,21015
E12000002,North West,region,2021-06-24,681489,21008
E12000002,North West,region,2021-06-23,677757,20997
E12000002,North West,region,2021-06-22,674104,20993
E12000002,North West,region,2021-06-21,670554,20988
E12000002,North West,region,2021-06-20,666976,20976
E12000002,North West,region,2021-06-19,664599,20965
E12000002,North West,region,2021-06-18,662621,20955
E12000002,North West,region,2021-06-17,660176,20950
E12000002,North West,region,2021-06-16,657402,20948
E12000002,North West,region,2021-06-15,654587,20942
E12000002,North West,region,2021-06-14,651766,20936
E12000002,North West,region,2021-06-13,649034,20930
E12000002,North West,region,2021-06-12,647082,20930
E12000002,North West,region,2021-06-11,645427,20927
E12000002,North West,region,2021-06-10,643327,20924
E12000002,North West,region,2021-06-09,641107,20921
E12000002,North West,region,2021-06-08,638884,20918
E12000002,North West,region,2021-06-07,636676,20916
E12000002,North West,region,2021-06-06,634324,20913
E12000002,North West,region,2021-06-05,632648,20912
E12000002,North West,region,2021-06-04,631264,20909
E12000002,North West,region,2021-06-03,629497,20905
E12000002,North West,region,2021-06-02,627659,20900
E12000002,North West,region,2021-06-01,625859,20898
E12000002,North West,region,2021-05-31,624257,20894
E12000002,North West,region,2021-05-30,623166,20891
E12000002,North West,region,2021-05-29,622299,20887
E12000002,North West,region,2021-05-28,621456,20885
E12000002,North West,region,2021-05-27,620482,20881
E12000002,North West,region,2021-05-26,619450,20877
E12000002,North West,region,2021-05-25,618389,20875
E12000002,North West,region,2021-05-24,617481,20874
E12000002,North West,region,2021-05-23,616590,20872
E12000002,North West,region,2021-05-22,616055,20866
E12000002,North West,region,2021-05-21,615594,20865
E12000002,North West,region,2021-05-20,615070,20859
E12000002,North West,region,2021-05-19,614521,20858
E12000002,North West,region,2021-05-18,613970,20858
E12000002,North West,region,2021-05-17,613277,20858
E12000002,North West,region,2021-05-16,612646,20857
E12000002,North West,region,2021-05-15,612234,20856
E12000002,North West,region,2021-05-14,611880,20852
E12000002,North West,region,2021-05-13,611476,20852
E12000002,North West,region,2021-05-12,611122,20847
E12000002,North West,region,2021-05-11,610671,20845
E12000002,North West,region,2021-05-10,610267,20838
E12000002,North West,region,2021-05-09,609776,20834
E12000002,North West,region,2021-05-08,609384,20831
E12000002,North West,region,2021-05-07,609146,20829
E12000002,North West,region,2021-05-06,608821,20827
E12000002,North West,region,2021-05-05,608477,20826
E12000002,North West,region,2021-05-04,608078,20822
E12000002,North West,region,2021-05-03,607714,20820
E12000002,North West,region,2021-05-02,607456,20816
E12000002,North West,region,2021-05-01,607270,20814
E12000002,North West,region,2021-04-30,607086,20812
E12000002,North West,region,2021-04-29,606866,20812
E12000002,North West,region,2021-04-28,606583,20807
E12000002,North West,region,2021-04-27,606267,20804
E12000002,North West,region,2021-04-26,606008,20798
E12000002,North West,region,2021-04-25,605677,20795
E12000002,North West,region,2021-04-24,605405,20792
E12000002,North West,region,2021-04-23,605253,20784
E12000002,North West,region,2021-04-22,605031,20783
E12000002,North West,region,2021-04-21,604792,20774
E12000002,North West,region,2021-04-20,604532,20767
E12000002,North West,region,2021-04-19,604288,20756
E12000002,North West,region,2021-04-18,604028,20752
E12000002,North West,region,2021-04-17,603754,20748
E12000002,North West,region,2021-04-16,603588,20744
E12000002,North West,region,2021-04-15,603374,20742
E12000002,North West,region,2021-04-14,603114,20734
E12000002,North West,region,2021-04-13,602827,20727
E12000002,North West,region,2021-04-12,602553,20718
E12000002,North West,region,2021-04-11,602242,20711
E12000002,North West,region,2021-04-10,601977,20706
E12000002,North West,region,2021-04-09,601726,20700
E12000002,North West,region,2021-04-08,601406,20689
E12000002,North West,region,2021-04-07,601044,20681
E12000002,North West,region,2021-04-06,600676,20674
E12000002,North West,region,2021-04-05,600306,20668
E12000002,North West,region,2021-04-04,599953,20659
E12000002,North West,region,2021-04-03,599655,20643
E12000002,North West,region,2021-04-02,599378,20636
E12000002,North West,region,2021-04-01,599065,20627
E12000002,North West,region,2021-03-31,598625,20614
E12000002,North West,region,2021-03-30,598169,20602
E12000002,North West,region,2021-03-29,597722,20590
E12000002,North West,region,2021-03-28,597253,20574
E12000002,North West,region,2021-03-27,596601,20559
E12000002,North West,region,2021-03-26,596145,20548
E12000002,North West,region,2021-03-25,595593,20533
E12000002,North West,region,2021-03-24,594868,20515
E12000002,North West,region,2021-03-23,594147,20501
E12000002,North West,region,2021-03-22,593447,20485
E12000002,North West,region,2021-03-21,592659,20466
E12000002,North West,region,2021-03-20,591897,20442
E12000002,North West,region,2021-03-19,591357,20420
E12000002,North West,region,2021-03-18,590738,20397
E12000002,North West,region,2021-03-17,589999,20379
E12000002,North West,region,2021-03-16,589226,20358
E12000002,North West,region,2021-03-15,588439,20329
E12000002,North West,region,2021-03-14,587568,20303
E12000002,North West,region,2021-03-13,586941,20272
E12000002,North West,region,2021-03-12,586353,20246
E12000002,North West,region,2021-03-11,585604,20223
E12000002,North West,region,2021-03-10,584851,20193
