areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000008,South East,region,2021-08-20,768370,20526
E12000008,South East,region,2021-08-19,767550,20524
E12000008,South East,region,2021-08-18,764107,20519
E12000008,South East,region,2021-08-17,759382,20508
E12000008,South East,region,2021-08-16,754339,20495
E12000008,South East,region,2021-08-15,749706,20487
E12000008,South East,region,2021-08-14,746649,20480
E12000008,South East,region,2021-08-13,743365,20477
E12000008,South East,region,2021-08-12,739561,20470
E12000008,South East,region,2021-08-11,735550,20463
E12000008,South East,region,2021-08-10,731108,20457
E12000008,South East,region,2021-08-09,727111,20456
E12000008,South East,region,2021-08-08,723271,20450
E12000008,South East,region,2021-08-07,720416,20442
E12000008,South East,region,2021-08-06,717590,20435
E12000008,South East,region,2021-08-05,714147,20422
E12000008,South East,region,2021-08-04,710367,20413
E12000008,South East,region,2021-08-03,706382,20408
E12000008,South East,region,2021-08-02,702725,20396
E12000008,South East,region,2021-08-01,699165,20387
E12000008,South East,region,2021-07-31,696610,20381
E12000008,South East,region,2021-07-30,694171,20373
E12000008,South East,region,2021-07-29,691144,20367
E12000008,South East,region,2021-07-28,687766,20354
E12000008,South East,region,2021-07-27,684176,20344
E12000008,South East,region,2021-07-26,680752,20340
E12000008,South East,region,2021-07-25,677436,20333
E12000008,South East,region,2021-07-24,674843,20324
E12000008,South East,region,2021-07-23,672157,20318
E12000008,South East,region,2021-07-22,668998,20312
E12000008,South East,region,2021-07-21,665461,20310
E12000008,South East,region,2021-07-20,661277,20305
E12000008,South East,region,2021-07-19,656460,20302
E12000008,South East,region,2021-07-18,650841,20296
E12000008,South East,region,2021-07-17,646325,20294
E12000008,South East,region,2021-07-16,641607,20289
E12000008,South East,region,2021-07-15,634774,20285
E12000008,South East,region,2021-07-14,626999,20277
E12000008,South East,region,2021-07-13,620504,20275
E12000008,South East,region,2021-07-12,615323,20272
E12000008,South East,region,2021-07-11,610461,20267
E12000008,South East,region,2021-07-10,607100,20266
E12000008,South East,region,2021-07-09,604086,20264
E12000008,South East,region,2021-07-08,600701,20260
E12000008,South East,region,2021-07-07,597349,20256
E12000008,South East,region,2021-07-06,593606,20253
E12000008,South East,region,2021-07-05,590125,20251
E12000008,South East,region,2021-07-04,586673,20247
E12000008,South East,region,2021-07-03,584220,20246
E12000008,South East,region,2021-07-02,581776,20244
E12000008,South East,region,2021-07-01,579267,20243
E12000008,South East,region,2021-06-30,576587,20240
E12000008,South East,region,2021-06-29,573978,20239
E12000008,South East,region,2021-06-28,571432,20238
E12000008,South East,region,2021-06-27,568899,20238
E12000008,South East,region,2021-06-26,567069,20237
E12000008,South East,region,2021-06-25,565567,20235
E12000008,South East,region,2021-06-24,564015,20230
E12000008,South East,region,2021-06-23,562492,20226
E12000008,South East,region,2021-06-22,561093,20226
E12000008,South East,region,2021-06-21,559860,20225
E12000008,South East,region,2021-06-20,558782,20225
E12000008,South East,region,2021-06-19,558039,20224
E12000008,South East,region,2021-06-18,557438,20223
E12000008,South East,region,2021-06-17,556606,20222
E12000008,South East,region,2021-06-16,555801,20220
E12000008,South East,region,2021-06-15,554867,20219
E12000008,South East,region,2021-06-14,554028,20218
E12000008,South East,region,2021-06-13,553197,20218
E12000008,South East,region,2021-06-12,552631,20214
E12000008,South East,region,2021-06-11,552132,20214
E12000008,South East,region,2021-06-10,551537,20211
E12000008,South East,region,2021-06-09,550875,20206
E12000008,South East,region,2021-06-08,550245,20203
E12000008,South East,region,2021-06-07,549689,20201
E12000008,South East,region,2021-06-06,549090,20200
E12000008,South East,region,2021-06-05,548622,20199
E12000008,South East,region,2021-06-04,548226,20199
E12000008,South East,region,2021-06-03,547747,20198
E12000008,South East,region,2021-06-02,547246,20198
E12000008,South East,region,2021-06-01,546698,20198
E12000008,South East,region,2021-05-31,546238,20197
E12000008,South East,region,2021-05-30,545887,20197
E12000008,South East,region,2021-05-29,545576,20197
E12000008,South East,region,2021-05-28,545299,20196
E12000008,South East,region,2021-05-27,544983,20193
E12000008,South East,region,2021-05-26,544649,20192
E12000008,South East,region,2021-05-25,544315,20192
E12000008,South East,region,2021-05-24,544039,20190
E12000008,South East,region,2021-05-23,543742,20187
E12000008,South East,region,2021-05-22,543528,20185
E12000008,South East,region,2021-05-21,543387,20185
E12000008,South East,region,2021-05-20,543209,20182
E12000008,South East,region,2021-05-19,543052,20181
E12000008,South East,region,2021-05-18,542870,20180
E12000008,South East,region,2021-05-17,542706,20178
E12000008,South East,region,2021-05-16,542517,20174
E12000008,South East,region,2021-05-15,542377,20173
E12000008,South East,region,2021-05-14,542254,20172
E12000008,South East,region,2021-05-13,542127,20168
E12000008,South East,region,2021-05-12,541952,20168
E12000008,South East,region,2021-05-11,541789,20167
E12000008,South East,region,2021-05-10,541642,20164
E12000008,South East,region,2021-05-09,541447,20163
E12000008,South East,region,2021-05-08,541285,20161
E12000008,South East,region,2021-05-07,541167,20157
E12000008,South East,region,2021-05-06,541004,20154
E12000008,South East,region,2021-05-05,540824,20152
E12000008,South East,region,2021-05-04,540635,20150
E12000008,South East,region,2021-05-03,540450,20147
E12000008,South East,region,2021-05-02,540267,20145
E12000008,South East,region,2021-05-01,540126,20142
E12000008,South East,region,2021-04-30,540002,20139
E12000008,South East,region,2021-04-29,539860,20135
E12000008,South East,region,2021-04-28,539687,20132
E12000008,South East,region,2021-04-27,539441,20130
E12000008,South East,region,2021-04-26,539243,20127
E12000008,South East,region,2021-04-25,539001,20123
E12000008,South East,region,2021-04-24,538781,20121
E12000008,South East,region,2021-04-23,538651,20114
E12000008,South East,region,2021-04-22,538467,20113
E12000008,South East,region,2021-04-21,538231,20108
E12000008,South East,region,2021-04-20,537961,20103
E12000008,South East,region,2021-04-19,537761,20093
E12000008,South East,region,2021-04-18,537508,20084
E12000008,South East,region,2021-04-17,537229,20079
E12000008,South East,region,2021-04-16,537071,20077
E12000008,South East,region,2021-04-15,536871,20076
E12000008,South East,region,2021-04-14,536681,20073
E12000008,South East,region,2021-04-13,536454,20068
E12000008,South East,region,2021-04-12,536240,20058
E12000008,South East,region,2021-04-11,536015,20049
