areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000009,South West,region,2021-08-20,393256,8043
E12000009,South West,region,2021-08-19,392571,8039
E12000009,South West,region,2021-08-18,388869,8033
E12000009,South West,region,2021-08-17,383989,8025
E12000009,South West,region,2021-08-16,378794,8015
E12000009,South West,region,2021-08-15,374555,8010
E12000009,South West,region,2021-08-14,372100,8005
E12000009,South West,region,2021-08-13,369781,8000
E12000009,South West,region,2021-08-12,367071,7995
E12000009,South West,region,2021-08-11,364037,7989
E12000009,South West,region,2021-08-10,360878,7986
E12000009,South West,region,2021-08-09,357770,7981
E12000009,South West,region,2021-08-08,354649,7974
E12000009,South West,region,2021-08-07,352386,7967
E12000009,South West,region,2021-08-06,350177,7960
E12000009,South West,region,2021-08-05,347330,7952
E12000009,South West,region,2021-08-04,344319,7948
E12000009,South West,region,2021-08-03,341198,7943
E12000009,South West,region,2021-08-02,338105,7937
E12000009,South West,region,2021-08-01,335392,7932
E12000009,South West,region,2021-07-31,333378,7923
E12000009,South West,region,2021-07-30,331414,7919
E12000009,South West,region,2021-07-29,329120,7914
E12000009,South West,region,2021-07-28,326388,7912
E12000009,South West,region,2021-07-27,323453,7905
E12000009,South West,region,2021-07-26,320667,7901
E12000009,South West,region,2021-07-25,317968,7899
E12000009,South West,region,2021-07-24,315966,7894
E12000009,South West,region,2021-07-23,314058,7890
E12000009,South West,region,2021-07-22,311599,7880
E12000009,South West,region,2021-07-21,309089,7875
E12000009,South West,region,2021-07-20,306124,7874
E12000009,South West,region,2021-07-19,302713,7874
E12000009,South West,region,2021-07-18,298795,7871
E12000009,South West,region,2021-07-17,295529,7866
E12000009,South West,region,2021-07-16,292127,7859
E12000009,South West,region,2021-07-15,287127,7859
E12000009,South West,region,2021-07-14,281386,7857
E12000009,South West,region,2021-07-13,276585,7854
E12000009,South West,region,2021-07-12,272505,7854
E12000009,South West,region,2021-07-11,268964,7848
E12000009,South West,region,2021-07-10,266543,7846
E12000009,South West,region,2021-07-09,264464,7845
E12000009,South West,region,2021-07-08,262056,7844
E12000009,South West,region,2021-07-07,259573,7843
E12000009,South West,region,2021-07-06,256884,7840
E12000009,South West,region,2021-07-05,254428,7839
E12000009,South West,region,2021-07-04,252269,7839
E12000009,South West,region,2021-07-03,250643,7838
E12000009,South West,region,2021-07-02,249034,7836
E12000009,South West,region,2021-07-01,247400,7832
E12000009,South West,region,2021-06-30,245634,7830
E12000009,South West,region,2021-06-29,243801,7830
E12000009,South West,region,2021-06-28,242053,7828
