areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000005,West Midlands,region,2021-08-20,609293,16218
E12000005,West Midlands,region,2021-08-19,608724,16215
E12000005,West Midlands,region,2021-08-18,606259,16208
E12000005,West Midlands,region,2021-08-17,603217,16198
E12000005,West Midlands,region,2021-08-16,600177,16190
E12000005,West Midlands,region,2021-08-15,597125,16182
E12000005,West Midlands,region,2021-08-14,594773,16171
E12000005,West Midlands,region,2021-08-13,592499,16155
E12000005,West Midlands,region,2021-08-12,590082,16139
E12000005,West Midlands,region,2021-08-11,587233,16126
E12000005,West Midlands,region,2021-08-10,584240,16114
E12000005,West Midlands,region,2021-08-09,581469,16106
E12000005,West Midlands,region,2021-08-08,578427,16099
E12000005,West Midlands,region,2021-08-07,576379,16091
E12000005,West Midlands,region,2021-08-06,574435,16076
E12000005,West Midlands,region,2021-08-05,572039,16069
E12000005,West Midlands,region,2021-08-04,569194,16063
E12000005,West Midlands,region,2021-08-03,566410,16051
E12000005,West Midlands,region,2021-08-02,563870,16045
E12000005,West Midlands,region,2021-08-01,561259,16036
E12000005,West Midlands,region,2021-07-31,559426,16022
E12000005,West Midlands,region,2021-07-30,557635,16012
E12000005,West Midlands,region,2021-07-29,555652,15998
E12000005,West Midlands,region,2021-07-28,553377,15991
E12000005,West Midlands,region,2021-07-27,550897,15988
E12000005,West Midlands,region,2021-07-26,548524,15981
E12000005,West Midlands,region,2021-07-25,546011,15979
E12000005,West Midlands,region,2021-07-24,544039,15972
E12000005,West Midlands,region,2021-07-23,542080,15962
E12000005,West Midlands,region,2021-07-22,539599,15953
E12000005,West Midlands,region,2021-07-21,536789,15945
E12000005,West Midlands,region,2021-07-20,533536,15943
E12000005,West Midlands,region,2021-07-19,529966,15941
E12000005,West Midlands,region,2021-07-18,525555,15929
E12000005,West Midlands,region,2021-07-17,522018,15918
E12000005,West Midlands,region,2021-07-16,518220,15914
E12000005,West Midlands,region,2021-07-15,512679,15908
E12000005,West Midlands,region,2021-07-14,506371,15903
E12000005,West Midlands,region,2021-07-13,501046,15898
E12000005,West Midlands,region,2021-07-12,496356,15893
E12000005,West Midlands,region,2021-07-11,491849,15891
E12000005,West Midlands,region,2021-07-10,488863,15885
E12000005,West Midlands,region,2021-07-09,486129,15880
E12000005,West Midlands,region,2021-07-08,483135,15873
E12000005,West Midlands,region,2021-07-07,479997,15870
E12000005,West Midlands,region,2021-07-06,476570,15867
E12000005,West Midlands,region,2021-07-05,473320,15863
E12000005,West Midlands,region,2021-07-04,470282,15857
E12000005,West Midlands,region,2021-07-03,468065,15851
E12000005,West Midlands,region,2021-07-02,465902,15849
E12000005,West Midlands,region,2021-07-01,463567,15847
E12000005,West Midlands,region,2021-06-30,461108,15845
E12000005,West Midlands,region,2021-06-29,458642,15838
E12000005,West Midlands,region,2021-06-28,456378,15836
E12000005,West Midlands,region,2021-06-27,454041,15835
E12000005,West Midlands,region,2021-06-26,452569,15835
E12000005,West Midlands,region,2021-06-25,451241,15833
E12000005,West Midlands,region,2021-06-24,449902,15829
E12000005,West Midlands,region,2021-06-23,448445,15827
