areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000003,Yorkshire and The Humber,region,2021-08-20,606403,13255
E12000003,Yorkshire and The Humber,region,2021-08-19,605929,13252
E12000003,Yorkshire and The Humber,region,2021-08-18,603479,13247
E12000003,Yorkshire and The Humber,region,2021-08-17,600497,13237
E12000003,Yorkshire and The Humber,region,2021-08-16,597596,13229
E12000003,Yorkshire and The Humber,region,2021-08-15,594308,13219
E12000003,Yorkshire and The Humber,region,2021-08-14,591908,13211
E12000003,Yorkshire and The Humber,region,2021-08-13,589567,13195
E12000003,Yorkshire and The Humber,region,2021-08-12,586701,13175
E12000003,Yorkshire and The Humber,region,2021-08-11,583623,13159
E12000003,Yorkshire and The Humber,region,2021-08-10,580482,13145
E12000003,Yorkshire and The Humber,region,2021-08-09,577232,13128
E12000003,Yorkshire and The Humber,region,2021-08-08,573857,13120
E12000003,Yorkshire and The Humber,region,2021-08-07,571544,13107
E12000003,Yorkshire and The Humber,region,2021-08-06,569171,13093
E12000003,Yorkshire and The Humber,region,2021-08-05,566162,13080
E12000003,Yorkshire and The Humber,region,2021-08-04,562883,13063
E12000003,Yorkshire and The Humber,region,2021-08-03,559365,13054
E12000003,Yorkshire and The Humber,region,2021-08-02,556175,13046
E12000003,Yorkshire and The Humber,region,2021-08-01,552910,13041
E12000003,Yorkshire and The Humber,region,2021-07-31,550640,13036
E12000003,Yorkshire and The Humber,region,2021-07-30,548377,13024
E12000003,Yorkshire and The Humber,region,2021-07-29,545661,13015
E12000003,Yorkshire and The Humber,region,2021-07-28,542507,13006
E12000003,Yorkshire and The Humber,region,2021-07-27,539326,12995
E12000003,Yorkshire and The Humber,region,2021-07-26,536200,12981
E12000003,Yorkshire and The Humber,region,2021-07-25,533021,12969
E12000003,Yorkshire and The Humber,region,2021-07-24,530853,12957
E12000003,Yorkshire and The Humber,region,2021-07-23,528548,12948
E12000003,Yorkshire and The Humber,region,2021-07-22,525837,12942
E12000003,Yorkshire and The Humber,region,2021-07-21,522661,12935
E12000003,Yorkshire and The Humber,region,2021-07-20,519010,12928
E12000003,Yorkshire and The Humber,region,2021-07-19,514872,12918
E12000003,Yorkshire and The Humber,region,2021-07-18,509763,12908
E12000003,Yorkshire and The Humber,region,2021-07-17,505979,12897
E12000003,Yorkshire and The Humber,region,2021-07-16,502129,12892
E12000003,Yorkshire and The Humber,region,2021-07-15,496428,12885
E12000003,Yorkshire and The Humber,region,2021-07-14,490152,12878
E12000003,Yorkshire and The Humber,region,2021-07-13,484354,12872
E12000003,Yorkshire and The Humber,region,2021-07-12,479161,12870
E12000003,Yorkshire and The Humber,region,2021-07-11,474223,12866
E12000003,Yorkshire and The Humber,region,2021-07-10,470911,12864
E12000003,Yorkshire and The Humber,region,2021-07-09,467833,12860
E12000003,Yorkshire and The Humber,region,2021-07-08,464267,12858
E12000003,Yorkshire and The Humber,region,2021-07-07,460591,12855
E12000003,Yorkshire and The Humber,region,2021-07-06,456046,12851
E12000003,Yorkshire and The Humber,region,2021-07-05,451963,12850
E12000003,Yorkshire and The Humber,region,2021-07-04,448122,12848
E12000003,Yorkshire and The Humber,region,2021-07-03,445354,12847
E12000003,Yorkshire and The Humber,region,2021-07-02,442926,12843
E12000003,Yorkshire and The Humber,region,2021-07-01,440320,12841
E12000003,Yorkshire and The Humber,region,2021-06-30,437431,12837
E12000003,Yorkshire and The Humber,region,2021-06-29,434546,12835
E12000003,Yorkshire and The Humber,region,2021-06-28,431712,12831
E12000003,Yorkshire and The Humber,region,2021-06-27,428878,12830
E12000003,Yorkshire and The Humber,region,2021-06-26,426955,12825
E12000003,Yorkshire and The Humber,region,2021-06-25,425391,12823
E12000003,Yorkshire and The Humber,region,2021-06-24,423604,12823
E12000003,Yorkshire and The Humber,region,2021-06-23,421805,12822
E12000003,Yorkshire and The Humber,region,2021-06-22,420028,12822
E12000003,Yorkshire and The Humber,region,2021-06-21,418475,12820
E12000003,Yorkshire and The Humber,region,2021-06-20,417007,12820
E12000003,Yorkshire and The Humber,region,2021-06-19,416070,12816
E12000003,Yorkshire and The Humber,region,2021-06-18,415253,12813
E12000003,Yorkshire and The Humber,region,2021-06-17,414229,12812
E12000003,Yorkshire and The Humber,region,2021-06-16,413206,12812
E12000003,Yorkshire and The Humber,region,2021-06-15,412219,12812
E12000003,Yorkshire and The Humber,region,2021-06-14,411374,12810
E12000003,Yorkshire and The Humber,region,2021-06-13,410457,12808
E12000003,Yorkshire and The Humber,region,2021-06-12,409867,12806
E12000003,Yorkshire and The Humber,region,2021-06-11,409313,12805
E12000003,Yorkshire and The Humber,region,2021-06-10,408666,12802
