areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumOnsDeathsByRegistrationDate
E12000004,East Midlands,region,2021-08-01,429224,
E12000004,East Midlands,region,2021-07-31,428758,
E12000004,East Midlands,region,2021-07-30,427089,
E12000004,East Midlands,region,2021-07-29,425079,
E12000004,East Midlands,region,2021-07-28,422775,
E12000004,East Midlands,region,2021-07-27,420221,
E12000004,East Midlands,region,2021-07-26,417831,
E12000004,East Midlands,region,2021-07-25,415534,
E12000004,East Midlands,region,2021-07-24,413857,
E12000004,East Midlands,region,2021-07-23,412196,
E12000004,East Midlands,region,2021-07-22,410259,
E12000004,East Midlands,region,2021-07-21,408031,
E12000004,East Midlands,region,2021-07-20,405449,
E12000004,East Midlands,region,2021-07-19,402634,
E12000004,East Midlands,region,2021-07-18,399026,
E12000004,East Midlands,region,2021-07-17,396332,
E12000004,East Midlands,region,2021-07-16,393474,11743
E12000004,East Midlands,region,2021-07-15,389371,
E12000004,East Midlands,region,2021-07-14,384948,
E12000004,East Midlands,region,2021-07-13,380990,
E12000004,East Midlands,region,2021-07-12,377575,
E12000004,East Midlands,region,2021-07-11,374239,
E12000004,East Midlands,region,2021-07-10,372109,
E12000004,East Midlands,region,2021-07-09,370130,11734
E12000004,East Midlands,region,2021-07-08,367926,
E12000004,East Midlands,region,2021-07-07,365671,
E12000004,East Midlands,region,2021-07-06,363202,
E12000004,East Midlands,region,2021-07-05,360840,
E12000004,East Midlands,region,2021-07-04,358579,
E12000004,East Midlands,region,2021-07-03,356924,
E12000004,East Midlands,region,2021-07-02,355466,11722
E12000004,East Midlands,region,2021-07-01,353905,
E12000004,East Midlands,region,2021-06-30,352239,
E12000004,East Midlands,region,2021-06-29,350696,
E12000004,East Midlands,region,2021-06-28,349116,
E12000004,East Midlands,region,2021-06-27,347575,
E12000004,East Midlands,region,2021-06-26,346583,
E12000004,East Midlands,region,2021-06-25,345693,11718
E12000004,East Midlands,region,2021-06-24,344754,
E12000004,East Midlands,region,2021-06-23,343911,
E12000004,East Midlands,region,2021-06-22,343050,
E12000004,East Midlands,region,2021-06-21,342230,
E12000004,East Midlands,region,2021-06-20,341479,
E12000004,East Midlands,region,2021-06-19,341008,
E12000004,East Midlands,region,2021-06-18,340593,11710
E12000004,East Midlands,region,2021-06-17,340045,
E12000004,East Midlands,region,2021-06-16,339538,
E12000004,East Midlands,region,2021-06-15,338988,
E12000004,East Midlands,region,2021-06-14,338448,
E12000004,East Midlands,region,2021-06-13,337956,
E12000004,East Midlands,region,2021-06-12,337636,
E12000004,East Midlands,region,2021-06-11,337317,11699
E12000004,East Midlands,region,2021-06-10,336965,
E12000004,East Midlands,region,2021-06-09,336627,
E12000004,East Midlands,region,2021-06-08,336235,
E12000004,East Midlands,region,2021-06-07,335873,
E12000004,East Midlands,region,2021-06-06,335461,
E12000004,East Midlands,region,2021-06-05,335191,
E12000004,East Midlands,region,2021-06-04,334975,11689
E12000004,East Midlands,region,2021-06-03,334717,
E12000004,East Midlands,region,2021-06-02,334452,
E12000004,East Midlands,region,2021-06-01,334186,
E12000004,East Midlands,region,2021-05-31,333934,
E12000004,East Midlands,region,2021-05-30,333759,
E12000004,East Midlands,region,2021-05-29,333604,
E12000004,East Midlands,region,2021-05-28,333466,11679
E12000004,East Midlands,region,2021-05-27,333286,
E12000004,East Midlands,region,2021-05-26,333108,
E12000004,East Midlands,region,2021-05-25,332911,
E12000004,East Midlands,region,2021-05-24,332745,
E12000004,East Midlands,region,2021-05-23,332551,
E12000004,East Midlands,region,2021-05-22,332408,
E12000004,East Midlands,region,2021-05-21,332291,11675
E12000004,East Midlands,region,2021-05-20,332166,
E12000004,East Midlands,region,2021-05-19,331994,
E12000004,East Midlands,region,2021-05-18,331815,
E12000004,East Midlands,region,2021-05-17,331684,
E12000004,East Midlands,region,2021-05-16,331524,
E12000004,East Midlands,region,2021-05-15,331383,
E12000004,East Midlands,region,2021-05-14,331276,11668
E12000004,East Midlands,region,2021-05-13,331138,
E12000004,East Midlands,region,2021-05-12,330992,
E12000004,East Midlands,region,2021-05-11,330851,
E12000004,East Midlands,region,2021-05-10,330705,
E12000004,East Midlands,region,2021-05-09,330473,
E12000004,East Midlands,region,2021-05-08,330275,
E12000004,East Midlands,region,2021-05-07,330155,11654
E12000004,East Midlands,region,2021-05-06,329985,
E12000004,East Midlands,region,2021-05-05,329740,
E12000004,East Midlands,region,2021-05-04,329506,
E12000004,East Midlands,region,2021-05-03,329292,
E12000004,East Midlands,region,2021-05-02,329107,
E12000004,East Midlands,region,2021-05-01,328959,
E12000004,East Midlands,region,2021-04-30,328856,11644
E12000004,East Midlands,region,2021-04-29,328750,
E12000004,East Midlands,region,2021-04-28,328577,
E12000004,East Midlands,region,2021-04-27,328403,
E12000004,East Midlands,region,2021-04-26,328247,
E12000004,East Midlands,region,2021-04-25,328075,
E12000004,East Midlands,region,2021-04-24,327925,
E12000004,East Midlands,region,2021-04-23,327815,11623
E12000004,East Midlands,region,2021-04-22,327679,
E12000004,East Midlands,region,2021-04-21,327511,
E12000004,East Midlands,region,2021-04-20,327322,
E12000004,East Midlands,region,2021-04-19,327126,
E12000004,East Midlands,region,2021-04-18,326931,
E12000004,East Midlands,region,2021-04-17,326728,
E12000004,East Midlands,region,2021-04-16,326608,11603
E12000004,East Midlands,region,2021-04-15,326438,
E12000004,East Midlands,region,2021-04-14,326257,
E12000004,East Midlands,region,2021-04-13,326042,
E12000004,East Midlands,region,2021-04-12,325834,
E12000004,East Midlands,region,2021-04-11,325605,
E12000004,East Midlands,region,2021-04-10,325407,
E12000004,East Midlands,region,2021-04-09,325221,11567
E12000004,East Midlands,region,2021-04-08,324969,
E12000004,East Midlands,region,2021-04-07,324671,
E12000004,East Midlands,region,2021-04-06,324387,
E12000004,East Midlands,region,2021-04-05,324070,
E12000004,East Midlands,region,2021-04-04,323836,
E12000004,East Midlands,region,2021-04-03,323628,
E12000004,East Midlands,region,2021-04-02,323367,11523
E12000004,East Midlands,region,2021-04-01,323097,
E12000004,East Midlands,region,2021-03-31,322763,
E12000004,East Midlands,region,2021-03-30,322397,
E12000004,East Midlands,region,2021-03-29,322059,
E12000004,East Midlands,region,2021-03-28,321693,
E12000004,East Midlands,region,2021-03-27,321262,
E12000004,East Midlands,region,2021-03-26,320903,11476
E12000004,East Midlands,region,2021-03-25,320499,
E12000004,East Midlands,region,2021-03-24,319983,
E12000004,East Midlands,region,2021-03-23,319383,
E12000004,East Midlands,region,2021-03-22,318841,
E12000004,East Midlands,region,2021-03-21,318300,
E12000004,East Midlands,region,2021-03-20,317829,
E12000004,East Midlands,region,2021-03-19,317419,11376
E12000004,East Midlands,region,2021-03-18,316946,
E12000004,East Midlands,region,2021-03-17,316367,
E12000004,East Midlands,region,2021-03-16,315793,
E12000004,East Midlands,region,2021-03-15,315196,
E12000004,East Midlands,region,2021-03-14,314600,
E12000004,East Midlands,region,2021-03-13,314220,
E12000004,East Midlands,region,2021-03-12,313827,11273
E12000004,East Midlands,region,2021-03-11,313306,
E12000004,East Midlands,region,2021-03-10,312741,
E12000004,East Midlands,region,2021-03-09,312171,
E12000004,East Midlands,region,2021-03-08,311564,
E12000004,East Midlands,region,2021-03-07,310906,
E12000004,East Midlands,region,2021-03-06,310461,
E12000004,East Midlands,region,2021-03-05,310018,11111
E12000004,East Midlands,region,2021-03-04,309408,
E12000004,East Midlands,region,2021-03-03,308816,
E12000004,East Midlands,region,2021-03-02,308201,
E12000004,East Midlands,region,2021-03-01,307530,
E12000004,East Midlands,region,2021-02-28,306772,
E12000004,East Midlands,region,2021-02-27,306287,
E12000004,East Midlands,region,2021-02-26,305768,10877
E12000004,East Midlands,region,2021-02-25,305094,
E12000004,East Midlands,region,2021-02-24,304295,
E12000004,East Midlands,region,2021-02-23,303332,
E12000004,East Midlands,region,2021-02-22,302200,
E12000004,East Midlands,region,2021-02-21,300849,
E12000004,East Midlands,region,2021-02-20,299981,
